Carnet;Correo;Nombre;Apellidos;Carrera
40119;1@gmail.com;Leonel 1;Lopez 1;Ing. En Desarrollo De Software
40120;2@gmail.com;Leonel 2;Lopez 2;Ing. En Desarrollo De Software
40121;3@gmail.com;Leonel 3;Lopez 3;Ing. En Desarrollo De Software
40122;4@gmail.com;Leonel 4;Lopez 4;Ing. En Desarrollo De Software
40123;5@gmail.com;Leonel 5;Lopez 5;Ing. En Desarrollo De Software
40124;6@gmail.com;Leonel 6;Lopez 6;Ing. En Desarrollo De Software
40125;7@gmail.com;Leonel 7;Lopez 7;Ing. En Desarrollo De Software
40126;8@gmail.com;Leonel 8;Lopez 8;Ing. En Desarrollo De Software
40127;9@gmail.com;Leonel 9;Lopez 9;Ing. En Desarrollo De Software
40128;10@gmail.com;Leonel 10;Lopez 10;Ing. En Desarrollo De Software
40129;11@gmail.com;Leonel 11;Lopez 11;Ing. En Desarrollo De Software
40130;12@gmail.com;Leonel 12;Lopez 12;Ing. En Desarrollo De Software
40131;13@gmail.com;Leonel 13;Lopez 13;Ing. En Desarrollo De Software
40132;14@gmail.com;Leonel 14;Lopez 14;Ing. En Desarrollo De Software
40133;15@gmail.com;Leonel 15;Lopez 15;Ing. En Desarrollo De Software
40134;16@gmail.com;Leonel 16;Lopez 16;Ing. En Desarrollo De Software
40135;17@gmail.com;Leonel 17;Lopez 17;Ing. En Desarrollo De Software
40136;18@gmail.com;Leonel 18;Lopez 18;Ing. En Desarrollo De Software
40137;19@gmail.com;Leonel 19;Lopez 19;Ing. En Desarrollo De Software
40138;20@gmail.com;Leonel 20;Lopez 20;Ing. En Desarrollo De Software
